id,site,job_url,title,company,location,date_posted,is_remote,job_level,company_url,job_url_direct,job_type,interval,currency,description,company_logo,company_url_direct,company_addresses,company_description,salary_source,min_amount,max_amount,company_industry,company_num_employees,company_revenue,relevance_score
li-4406556793,linkedin,https://www.linkedin.com/jobs/view/4406556793,SSP - R&D AI/ML Development Intern,Siemens,"Cairo, Cairo, Egypt",2026-05-20,False,,https://de.linkedin.com/company/siemens,,,,,,,,,,,,,,,,42
li-4417095730,linkedin,https://www.linkedin.com/jobs/view/4417095730,Junior AI/ML Engineer,TensorOps,,2026-05-20,False,,https://www.linkedin.com/company/tensorops,,,,,,,,,,,,,,,,37
li-4411579653,linkedin,https://www.linkedin.com/jobs/view/4411579653,Data Scientist-Artificial Intelligence,IBM,"Kochi, Kerala, India",2026-05-15,False,,https://www.linkedin.com/company/ibm,,,,,,,,,,,,,,,,35
li-4416181791,linkedin,https://www.linkedin.com/jobs/view/4416181791,Coding Instructor | Mentor | Data Structures & Algorithms,CipherSchools,"Chandigarh, Chandigarh, India",2026-05-20,False,,https://in.linkedin.com/company/cipherschool,,,,,,,,,,,,,,,,31
li-4412288805,linkedin,https://www.linkedin.com/jobs/view/4412288805,AI Engineer [Computer Vision],Depixen,"London Area, United Kingdom",2026-05-18,False,,https://uk.linkedin.com/company/depixen-sw,,,,,,,,,,,,,,,,30
li-4414674443,linkedin,https://www.linkedin.com/jobs/view/4414674443,"AI Engineer, LIGHT",Valeo,"Cairo, Egypt",2026-05-14,False,,https://fr.linkedin.com/company/valeo,,,,,,,,,,,,,,,,30
li-4413266600,linkedin,https://www.linkedin.com/jobs/view/4413266600,Applied AI Engineer - LLM & NLP,Toku,"Singapore, Singapore",2026-05-15,False,,https://sg.linkedin.com/company/toku-global,,,,,,,,,,,,,,,,28
li-4417064978,linkedin,https://www.linkedin.com/jobs/view/4417064978,Computer Vision Engineer | $90/hr Remote,Crossing Hurdles,,2026-05-20,True,,https://www.linkedin.com/company/crossinghurdles,,,,,,,,,,,,,,,,27
li-4413621034,linkedin,https://www.linkedin.com/jobs/view/4413621034,BI & BIGDATA Quality Specialist,Vodafone,"Giza, Al Jizah, Egypt",2026-05-20,False,,https://uk.linkedin.com/company/vodafone,,,,,,,,,,,,,,,,27
li-4398504055,linkedin,https://www.linkedin.com/jobs/view/4398504055,"AI & Automation Engineer, LIGHT",Valeo,"Cairo, Cairo, Egypt",2026-05-19,False,,https://fr.linkedin.com/company/valeo,,,,,,,,,,,,,,,,25
li-4416687519,linkedin,https://www.linkedin.com/jobs/view/4416687519,Data Analyst,Aditi Consulting,"Concord, NH",2026-05-19,False,,https://www.linkedin.com/company/aditiconsulting,,,,,,,,,,,,,,,,25
li-4412260663,linkedin,https://www.linkedin.com/jobs/view/4412260663,Data Engineer Machine learning,IBM,"Cairo, Cairo, Egypt",2026-05-18,False,,https://www.linkedin.com/company/ibm,,,,,,,,,,,,,,,,25
li-4415325884,linkedin,https://www.linkedin.com/jobs/view/4415325884,AI Engineer,Prudential Assurance Company Singapore,"Singapore, Singapore",2026-05-15,False,,https://sg.linkedin.com/company/prudential-assurance-company-singapore,,,,,,,,,,,,,,,,25
li-4404777724,linkedin,https://www.linkedin.com/jobs/view/4404777724,Computer Vision and Machine Learning Engineer,Qualcomm,"Shanghai, Shanghai, China",2026-05-15,False,,https://www.linkedin.com/company/qualcomm,,,,,,,,,,,,,,,,25
li-4399296128,linkedin,https://www.linkedin.com/jobs/view/4399296128,"2026 Applied Scientist Intern, Amazon University Talent Acquisition",Amazon,"Cairo, Cairo, Egypt",,False,,https://www.linkedin.com/company/amazon,,,,,,,,,,,,,,,,25
li-4416031323,linkedin,https://www.linkedin.com/jobs/view/4416031323,Data Analyst – Power BI & AI Tools,Cleopatra Hospitals Group,"Cairo, Egypt",2026-05-17,False,,https://eg.linkedin.com/company/cleopatra-hospitals-group,,,,,,,,,,,,,,,,23
li-4417301477,linkedin,https://www.linkedin.com/jobs/view/4417301477,Data Analyst - London Cab,Abou Ghaly Motors,"Qesm El Maadi, Cairo, Egypt",2026-05-20,False,,https://eg.linkedin.com/company/aboughalymotors,,,,,,,,,,,,,,,,22
li-4417045799,linkedin,https://www.linkedin.com/jobs/view/4417045799,SQL Data Analyst,LTIMindtree,,2026-05-20,False,,https://in.linkedin.com/company/ltimindtree,,,,,,,,,,,,,,,,22
li-4416190533,linkedin,https://www.linkedin.com/jobs/view/4416190533,Lab Systems Architect,Syniti,,2026-05-20,False,,https://www.linkedin.com/company/synitidata,,,,,,,,,,,,,,,,22
li-4417046993,linkedin,https://www.linkedin.com/jobs/view/4417046993,Data Science - Instructor,Uptrail,"Bengaluru, Karnataka, India",2026-05-20,False,,https://uk.linkedin.com/company/uptrail-collective,,,,,,,,,,,,,,,,20
li-4416490339,linkedin,https://www.linkedin.com/jobs/view/4416490339,Ai Engineer,Capgemini,"Cairo, Cairo, Egypt",2026-05-19,False,,https://fr.linkedin.com/company/capgemini,,,,,,,,,,,,,,,,20
li-4416925340,linkedin,https://www.linkedin.com/jobs/view/4416925340,Junior Machine Learning Engineer,KellyMitchell Group,,2026-05-19,False,,https://www.linkedin.com/company/kelly-mitchell-group-inc,,,,,,,,,,,,,,,,20
li-4416919907,linkedin,https://www.linkedin.com/jobs/view/4416919907,"AI Language Engineer , Artificial General Intelligence - Data Services",Amazon,"The Hague, South Holland, Netherlands",2026-05-19,False,,https://www.linkedin.com/company/amazon,,,,,,,,,,,,,,,,20
li-4415607616,linkedin,https://www.linkedin.com/jobs/view/4415607616,Data Scientist (Enterprise AI) | Remote,Crossing Hurdles,,2026-05-18,True,,https://www.linkedin.com/company/crossinghurdles,,,,,,,,,,,,,,,,20
li-4415170819,linkedin,https://www.linkedin.com/jobs/view/4415170819,Machine Learning Engineer at innovative AI-driven social platform,Jack & Jill,"London, England, UK",2026-05-16,False,,https://www.linkedin.com/company/jackandjillai,,,,,,,,,,,,,,,,20
li-4417790943,linkedin,https://www.linkedin.com/jobs/view/4417790943,Data Analyst Intern,Thndr,"Cairo, Cairo, Egypt",,False,,https://eg.linkedin.com/company/thndrapp,,,,,,,,,,,,,,,,20
li-4345971818,linkedin,https://www.linkedin.com/jobs/view/4345971818,"AI Language Engineer, Artificial General Intelligence - Data Services",Amazon,"The Hague, South Holland, Netherlands",,False,,https://www.linkedin.com/company/amazon,,,,,,,,,,,,,,,,20
li-4416576595,linkedin,https://www.linkedin.com/jobs/view/4416576595,Data Analyst Internship,L'Oréal,"Cairo, Cairo, Egypt",,False,,https://fr.linkedin.com/company/lor%C3%A9al,,,,,,,,,,,,,,,,20
in-0fd0670b57a9e6a4,indeed,https://www.indeed.com/viewjob?jk=0fd0670b57a9e6a4,Quality Auditor,Georgia-Pacific,"Paragould, AR, US",2026-05-21,False,,https://www.indeed.com/cmp/Georgia--pacific,https://ars2.equest.com/?response_id=cd164552ef8ca34ce71aa8480617a831,,hourly,USD,"Your Job

Anchor Packaging, a Georgia Pacific company, is looking for individuals to join their dynamic team of Quality Auditors at the Paragould, AR facility. The Quality Auditor's primary responsibility is to ensure the quality and safety of plastic food-packaging products through regular auditing, testing, and data analysis. This position helps maintain compliance with food safety standards, customer specifications, and internal quality requirements.

Our Team

A global innovation leader in designing and manufacturing rigid food containers and food service cling film in the USA since 1963. Committed to protecting food and the environment by using materials that reduce food and packaging waste to conserve valuable natural resources while delivering what the chef intended. Our partners at restaurant chains, supermarkets, convenience stores, food processors, and the distributors that warehouse and ship to these market segments utilize our award-winning performance features in durable packaging that preserves food quality, taste, and texture.

Pay: $18.00 - $21.50 based on experience with a $0.75 shift differential for nights

Shifts Available:

* Days 6:55am to 7:00pm

What You Will Do

* Perform routine audits of operations in all departments to verify product quality, with specific focus on plastic food-packaging standards and food safety guidelines
* Coordinate with on-shift coworkers to cover key production lines, prioritize critical audits, and ensure continuous quality oversight
* Enter data into relevant databases or systems accurately, including Statistical Process Control (SPC) software
* Conduct or assist in laboratory testing and measurement studies as assigned by the Quality Supervisor
* Perform sanitation tasks and audits to maintain and document compliance with food safety requirements
* Help guide new auditors on quality auditing procedures, standards, and best practices
* Carry out assigned warehouse or RMA audits, ensuring proper handling and documentation of returned products
* Analyze critical data and communicate findings promptly to operations staff, facilitating timely corrective actions for any quality issues
* Perform tasks such as lifting up to 50lbs, walking, climbing, stooping, standing, pushing and/or pulling for up to twelve (12) hours a day, in a loud/noisy, and industrial, high-volume environment

Who You Are (Basic Qualifications)

* Six months or more of quality experience or equivalent combination of education and experience
* Experience using Microsoft Office Suite

What Will Put You Ahead

* Experience working in a laboratory or auditor environment
* SPC trained
* Associate/Technical degree in applicable field

At Koch companies, we are entrepreneurs. This means we openly challenge the status quo, find new ways to create value and get rewarded for our individual contributions. Any compensation range provided for a role is an estimate determined by available market data. The actual amount may be higher or lower than the range provided considering each candidate's knowledge, skills, abilities, and geographic location. If you have questions, please speak to your recruiter about the flexibility and detail of our compensation philosophy.

Hiring Philosophy

All Koch companies value diversity of thought, perspectives, aptitudes, experiences, and backgrounds. We are Military Ready and Second Chance employers. Learn more about our hiring philosophy here.

Who We Are

As a Koch company and a leading manufacturer of bath tissue, paper towels, paper-based packaging, cellulose, specialty fibers, building products, and much more, Georgia-Pacific works to meet the evolving needs of customers worldwide with quality products. In addition to the products we make, we operate one of the largest recycling businesses. Our more than 30,000 employees in over 150 locations are empowered to innovate every day - to make everyday products even better.

At Koch, employees are empowered to do what they do best to make life better. Learn how our business philosophy helps employees unleash their potential while creating value for themselves and the company.

Our Benefits

Our goal is for each employee, and their families, to live fulfilling and healthy lives. We provide essential resources and support to build and maintain physical, financial, and emotional strength focusing on overall wellbeing so you can focus on what matters most. Our benefits plan includes medical, dental, vision, flexible spending and health savings accounts, life insurance, ADD, disability, retirement, paid vacation/time off, educational assistance, and may also include infertility assistance, paid parental leave and adoption assistance. Specific eligibility criteria is set by the applicable Summary Plan Description, policy or guideline and benefits may vary by geographic region. If you have questions on what benefits apply to you, please speak to your recruiter.

Additionally, everyone has individual work and personal needs. We seek to enable the best work environment that helps you and the business work together to produce superior results.

Equal Opportunities

Equal Opportunity Employer, including disability and protected veteran status. Except where prohibited by state law, all offers of employment are conditioned upon successfully passing a drug test. This employer uses E-Verify. Please visit the following website for additional information: http://www.kochcareers.com/doc/Everify.pdf",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/387e72e8f9a0c4f68cb3abc3615fde5a,http://www.gp.com,"Atlanta, GA","GP is among the world’s leading manufacturers and marketers of bath tissue, paper towels, napkins, tableware, paper-based packaging, cellulose, specialty fibers and building products.",direct_data,18.0,21.0,,"10,000+",more than $10B (USD),19
li-4417376258,linkedin,https://www.linkedin.com/jobs/view/4417376258,Remote LLM Agentic Trainer - Programmer,Turing,,2026-05-20,True,,https://www.linkedin.com/company/turingcom,,,,,,,,,,,,,,,,18
li-4416925799,linkedin,https://www.linkedin.com/jobs/view/4416925799,Market Entry Specialist - AI Trainer - Freelance - 8-20hrs/week - Remote,10x.Team,"Amsterdam, North Holland, Netherlands",,True,,https://nl.linkedin.com/company/10xteam,,,,,,,,,,,,,,,,18
li-4416174156,linkedin,https://www.linkedin.com/jobs/view/4416174156,AI-engineer / Agentic Developer  – 100% Remote,Powerprozesse GmbH,,2026-05-20,True,,https://de.linkedin.com/company/powerprozesse,,,,,,,,,,,,,,,,17
li-4417369370,linkedin,https://www.linkedin.com/jobs/view/4417369370,Remote ML Engineer - 60735,Turing,,2026-05-20,True,,https://www.linkedin.com/company/turingcom,,,,,,,,,,,,,,,,17
li-4416974391,linkedin,https://www.linkedin.com/jobs/view/4416974391,Data Analyst - Data Center Project Controls,SB Energy,,2026-05-20,False,,https://www.linkedin.com/company/sb-energy-softbank-group-,,,,,,,,,,,,,,,,17
li-4416168256,linkedin,https://www.linkedin.com/jobs/view/4416168256,Risk Vacancy (Fresh Graduate),QNB Egypt,"Cairo, Cairo, Egypt",2026-05-20,False,,https://eg.linkedin.com/company/qnbeg,,,,,,,,,,,,,,,,17
li-4417332423,linkedin,https://www.linkedin.com/jobs/view/4417332423,Banque Misr Summer Internship (Rowad 2026),Banque Misr,"Cairo, Cairo, Egypt",2026-05-20,False,,https://eg.linkedin.com/company/banque-misr,,,,,,,,,,,,,,,,17
